Context,English,Gibberish,French,Spanish,German,Korean,BrazilianPortuguese,SimplifedChinese,Russian,Italian,Portuguese,Hungarian,Japanese,Norwegian,Polish,Dutch,Romanian,Danish,Czech,Swedish,Ukrainian,Greek,Arabic,Vietnamese,Turkish
,Clean Large Fish,,,,,,,,Очистить Большую рыбу,,,,,,,,,,,,,,,,
,Clean Medium Fish,,,,,,,,Очистить Средную рыбу,,,,,,,,,,,,,,,,
,Cotton Seed,,,,,,,,Семечко хлопка,,,,,,,,,,,,,,,,
,Cotton Thread,,,,,,,,Хлопковая нить,,,,,,,,,,,,,,,,
,Cotton Boll,,,,,,,,Хлопковая коробочка,,,,,,,,,,,,,,,,
,Shorn Wool,,,,,,,,Стриженная шерсть,,,,,,,,,,,,,,,,
,Butcher Medium Wooly Animal,,,,,,,,Разделать Среднее Животное с шерстью,,,,,,,,,,,,,,,,
,Culinary Research Paper Basic Fish,,,,,,,,Исследовательская работа по базовой кулинарии - рыба,,,,,,,,,,,,,,,,
,Storage Silo,,,,,,,,Силосная башня,,,,,,,,,,,,,,,,
,Powered Storage Silo,,,,,,,,Перевод,,,,,,,,,,,,,,,,
,Advanced Tailoring Table,,,,,,,,Продвинутый Стол Портного,,,,,,,,,,,,,,,,
,Loom,,,,,,,,Ткацкий станок,,,,,,,,,,,,,,,,
,Automatic Loom,,,,,,,,Автоматический ткацкий станок,,,,,,,,,,,,,,,,
,Spin Melter,,,,,,,,Прядильная машина,,,,,,,,,,,,,,,,
,Spin Wool Yarn,,,,,,,,Пряжа из шерсти,,,,,,,,,,,,,,,,
,Tailoring Modern Upgrade,,,,,,,,Современное улучшение для работы с тканью,,,,,,,,,,,,,,,,
,Wool Yarn,,,,,,,,Шерстяная пряжа,,,,,,,,,,,,,,,,
,Wool Fabric,,,,,,,,Шерстяная ткань,,,,,,,,,,,,,,,,
,Cotton Fabric,,,,,,,,Хлопковая ткань,,,,,,,,,,,,,,,,
,Nylon Fabric,,,,,,,,Нейлоновая ткань,,,,,,,,,,,,,,,,
,Nylon Thread,,,,,,,,Нейлоновая нить,,,,,,,,,,,,,,,,
,Weave Wool Fabric,,,,,,,,Ткать Шерстяную Ткань,,,,,,,,,,,,,,,,
,Weave Nylon Fabric,,,,,,,,Ткать Нейлоновую Ткань,,,,,,,,,,,,,,,,
,Weave Cotton Fabric,,,,,,,,Ткать Хлопковую Ткань,,,,,,,,,,,,,,,,
,Wool Carpet,,,,,,,,Шерстяной ковер,,,,,,,,,,,,,,,,
,Nylon Carpet,,,,,,,,Нейлоновый ковер,,,,,,,,,,,,,,,,
,Cotton Carpet,,,,,,,,Хлопковый ковер,,,,,,,,,,,,,,,,
,Rents,,,,,,,,Аренда,,,,,,,,,,,,,,,,
,Builder Helmet,,,,,,,,Каска Строителя,,,,,,,,,,,,,,,,
,Builder Boots,,,,,,,,Ботинки Строителя,,,,,,,,,,,,,,,,
,Builder Gloves,,,,,,,,Перчатки Строителя,,,,,,,,,,,,,,,,
,Builder Overalls,,,,,,,,Комбинезон Строителя,,,,,,,,,,,,,,,,
,Builder Shirt,,,,,,,,Рубашка Строителя,,,,,,,,,,,,,,,,
,Farmer Boots,,,,,,,,Ботинки Фермера,,,,,,,,,,,,,,,,
,Farmer Overalls,,,,,,,,Комбинезон Фермера,,,,,,,,,,,,,,,,
,Farmer Gloves,,,,,,,,Перчатки Фермера,,,,,,,,,,,,,,,,
,Farmer Shirt,,,,,,,,Рубашка Фермера,,,,,,,,,,,,,,,,
,Farmer Hat,,,,,,,,Шляпа Фермера,,,,,,,,,,,,,,,,
,Smith Pants,,,,,,,,Штаны Кузнеца,,,,,,,,,,,,,,,,
,Smith Gloves,,,,,,,,Перчатки Кузнеца,,,,,,,,,,,,,,,,
,Smith Bandana,,,,,,,,Бандана Кузнеца,,,,,,,,,,,,,,,,
,Smith Boots,,,,,,,,Ботинки Кузнеца,,,,,,,,,,,,,,,,
,Smith Apron,,,,,,,,Фартук Кузнеца,,,,,,,,,,,,,,,,
,Tailor Bowler Hat,,,,,,,,Шляпа-котелок Портного,,,,,,,,,,,,,,,,
,Tailor Shirt,,,,,,,,Рубашка Портного,,,,,,,,,,,,,,,,
,Tailor Pants,,,,,,,,Штаны Портного,,,,,,,,,,,,,,,,
,Tailor Shoes,,,,,,,,Ботинки Портного,,,,,,,,,,,,,,,,
